,case title,judges name(s),date of judgment,citation,issues,decision,cited cases
2434,Ravindra Kumar Dutta Ors. vs Union Of India (Uoi) And Anr.,"M Dutt, O C Reddy","22 July, 1986"," 1986 (2) SCALE 125, (1986) 3 SCC 587",Article 19 in The Constitution Of India 1949 ; ,0,{}
2435,Smt. Kusum Gupta Alias Kusum ... vs Haryana State Small Industries ...,"M Dutt, O C Reddy","31 July, 1986"," AIR 1986 SC 1905, (1987) ILLJ 219 SC, 1986 (2) SCALE 207, (1986) 3 SCC 506, 1986 (2) UJ 513 SC",,0,{}
2436,Jagdish Sugar Mills Ltd vs The C.I.T Lucknow,"Pathak, R.S.","16 July, 1986"," 1986 AIR 1742, 1986 SCR  (3) 198","Section 10 in The Income- Tax Act, 1995 ; ",0,"{'c] calcutta electric supply corporation ltd. v. commissioner ': 0.8, 'indian steel & wire products ltd. v. state of madras ': 0.8, 'r.b. lachman das mohanlal & sons v. commissioner of income ': 0.8, 'calcutta electric supply corporation ltd. v. commissioner of income-tax, west bengal ': 1.0, 'indian steel & wire products ltd v. state of madras ': 1.0, 'r.b. lachman das mohanlal & sons v. commissioner of income-tax, u.p ': 1.0}"
2437,M.N. Sankaranarayanan vs State Of Kerala And Anr.,"M Dutt, O C Reddy","21 July, 1986"," AIR 1987 SC 47, 1986 (2) SCALE 84, (1986) 3 SCC 519, 1986 (2) UJ 365 SC",Article 136 in The Constitution Of India 1949 ; ,0,{}
2438,"Dishergarh Power Supply Co. Ltd., ... vs Workmen Of Dishergarh Power ...","V B Eradi, V Khalid","15 July, 1986"," AIR 1986 SC 1486, JT 1986 (1) SC 206, (1987) ILLJ 53 SC, 1986 (2) SCALE 23, (1986) 3 SCC 450, 1986 3 SCR 184, 1986 (2) UJ 509 SC","Section 34 in The Payment of Bonus Act, 1965 ; Section 10 in The Payment of Bonus Act, 1965 ; ",1,"{""see sanghi jeevraj ghewar chand and ors. v. secretary, madras chillies, grains kirana merchants workers' union "": 1.0, 'anr. and mumbai kamgar sabha, bombay v. abdulbhai faizullabhai and ors ': 1.0, 'the new maneck chowk spinning and weaving company ltd. ahmedabad and ors. v. the textile labour association, ahmedabad ': 1.0}"
2439,Canara Exports And Ors. vs State Of Karnataka And Anr.,"P Bhagwati, G Oza, V Khalid","21 July, 1986"," AIR 1987 SC 747, (1986) 3 SCC 527, 1987 66 STC 153 SC",,1,{}
2440,Dishergarh Power Supply Company ... vs Workmen Of Dishergarhsupply Co. ...,"Eradi, V. Balakrishna (J)","15 July, 1986"," 1986 AIR 1486, 1986 SCR  (3) 184","Section 34 in The Payment of Bonus Act, 1965 ; Section 10 in The Payment of Bonus Act, 1965 ; Section 5 in The Payment of Bonus Act, 1965 ; ",1,"{""f] sanghi jeevraj chewar chand and ors. v. secretary madras chillies, grains kirana merchants workers' union and anr "": 0.8, 'bombay v. m/s abdulbhai faizullabhai & ors ': 0.8, 'd] the new maneck chowk spinning and weaving company ltd. ahmedabad and others v. the textile labour association, ahmedabad ': 1.0, ""see sanghi jeevraj ghewar chand and ors. v. secretary, madras chillies, grains kirana merchants workers' union and anr "": 1.0, 'mumbai kamgar sabha, bombay v. m/s abdulbhai faizullabhai & ors ': 1.0}"
2441,Bachan Singh & Anr. Etc vs Chhotu Ram & Ors. Etc,Misra Rangnath,"23 July, 1986"," 1986 AIR 1910, 1986 SCR  (3) 379",,1,"{'atam prakash v. state of haryana ': 1.0, 'c] amir singh & anr. v. ram singh & ors ': 1.0, 'atam parkash v. state of haryana ': 1.0}"
2442,Sonam Yongda (Ex-Captain) ... vs State Of Sikkim And Ors.,"M Dutt, O C Reddy","29 July, 1986"," AIR 1986 SC 1736, 1986 CRILJ 1606, 1986 (2) SCALE 123, (1986) 3 SCC 594",,0,{}
2443,Indian Oil Corporation Ltd vs State Of Bihar & Ors,"Eradi, V. Balakrishna (J)","13 August, 1986"," 1986 AIR 1780, 1986 SCR  (3) 553",Article 226 in The Constitution Of India 1949 ; Article 136 in The Constitution Of India 1949 ; article 226 of constitution ; ,0,"{'g] workmen of cochin port trust v. board of trustees of the cochin port trust and another ': 0.8, 'ahmedabad manufacturing & calico printing company ltd. v. workmen and anr ': 0.8, 'e] workmen of cochin port trust v. board of trustees of the cochin port trust and another ': 1.0, 'shankar ramchandra abhyankar v. krishnaji dattatreya bapat ': 1.0}"
2444,B. Varadha Rao vs State Of Karnataka And Ors.,"A Sen, B Ray","26 August, 1986"," AIR 1986 SC 1955, JT 1986 (1) SC 249, 1986 LABLC 1806, (1986) IILLJ 516 SC, 1986 (2) SCALE 344, (1986) 4 SCC 131, 1986 (2) UJ 573 SC",Article 226 in The Constitution Of India 1949 ; ,0,"{'seshrao nagorao umap v. state of maharashtra and ors ': 1.0, 'e.p. royappa v. state of tamil nadu and anr ': 1.0}"
2445,"Kerala State Electricity Board, ... vs S.N. Govinda Prabhu & Brothers And ...","Reddy, O. Chinnappa (J)","26 August, 1986"," 1986 AIR 1999, 1986 SCR  (3) 628","Section 59 in The Electricity (Supply) Act, 1948 ; Section 67 in The Electricity (Supply) Act, 1948 ; Section 64 in The Electricity (Supply) Act, 1948 ; ",0,"{'g] rohtas industries v. bihar state electricity board ': 0.8, 'kerala state electricity board v. indian aluminium co ': 0.8, 'bihar state electricity board v. workmen ': 0.8, 'dr.p. nalla thamby thera v. union of india & ors ': 0.8, 'madras and southern maharatta railway company ltd. v. bezwada municipality ': 1.0, 'madras and southern maharatta railway company limited v. the municipal council bezwada, ilr ': 1.0, 'prag ice and oil mills v. union of india ': 1.0, 'dr. p. nalla thamby thera v. union of india & ors ': 1.0, 'madras and southern mahratta railway company ltd. v. bezwada municipality ': 1.0}"
2446,Mewa Ram (Deceased) By His L.Rs. ... vs State Of Haryana Through The ...,"Sen, A.P. (J)","26 August, 1986"," 1987 AIR   45, 1986 SCR  (3) 660","Section 25 in The Limitation Act, 1963 ; Section 18 in The Limitation Act, 1963 ; Article 136 in The Constitution Of India 1949 ; Section 5 in The Limitation Act, 1963 ; ",0,{'g] madras port trust v. hymanshu international ': 1.0}
2447,"Hindustan Wires Products Limited vs Commissioner Of Income-Tax, ...","Pathak, R.S.","7 August, 1986"," 1987 AIR  566, 1986 SCR  (3) 478","Section 33 in The Income- Tax Act, 1995 ; ",0,"{'c] commissioner of income tax, tamil nadu-v v. dhandayuthapani foundry (private) ltd ': 1.0, 'commissioner of income-tax, tamil nadu-v v. dhandayuthapani foundry (private) ltd ': 1.0}"
2448,Bijoe Emmanuel & Ors vs State Of Kerala & Ors,"Reddy, O. Chinnappa (J)","11 August, 1986"," 1987 AIR  748, 1986 SCR  (3) 518","Article 25 in The Constitution Of India 1949 ; Section 3 in The Prevention of Insults to National Honour Act, 1971 ; ",0,"{'kameshwar prasad v. the state of bihar ': 0.8, 'the commissioner hindu religious endowments, madras v. sri lakshmindra thirtha swamiar of sri shirur mutt ': 0.8, 'rati lal panachand gandhi v. the state of bombay & ors ': 0.8, 'in kameshwar prasad v. the state of bihar ': 1.0, 'the commissioner, hindu religious endowments, madras v. sri lakshmindra thirtha swamiar of sri shirur mutt ': 1.0, 'jagdishwaranand v. police commissioner, calcutta ': 1.0}"
2449,Union Of India & Ors vs M/S Modi Rubber Limited,"Bhagwati, P.N. (Cj)","18 August, 1986"," 1986 AIR 1992, 1986 SCR  (3) 587","Section 3 in the Central Sales Tax Act, 1956 ; ",0,{}
2450,Prabhu Dayal Sesma vs State Of Rajasthan & Anr,"Sen, A.P. (J)","28 August, 1986"," 1986 AIR 1948, 1986 SCR  (3) 665","Section 3 in The Indian Majority Act, 1875 ; Article 226 in The Constitution Of India 1949 ; ",0,"{'shurey, savory f. v. shurey, i,r ': 1.0}"
2451,Centax (India) Ltd. vs Vinmar Impex Inc. And Ors.,"A Sen, B Ray","19 August, 1986"," AIR 1986 SC 1924, 1987 61 COMPCAS 697 SC, JT 1986 (1) SC 175, 1986 (2) SCALE 254, (1986) 4 SCC 136, 1986 (2) UJ 559 SC",,0,{'united commercial bank v. bank of india and ors ': 1.0}
2452,Vasudeo Vishwanath Saraf vs New Education Institute & Ors,"Ray, B.C. (J)","5 August, 1986"," 1986 AIR 2105, 1986 SCR  (3) 458",Article 226 in The Constitution Of India 1949 ; ,1,"{'madhya pradesh industries ltd. v. union of india & ors ': 0.8, 'mahabir jute mills v. shibbon lal ': 0.8, 'siemen engineering & manufacturing co. v. union of india ': 0.8, 'in mahabir prasad v. state of m.p ': 1.0, 'madhya pradesh industries ltd. v. union of india ors ': 1.0, 'mahabir jute mills v. shibbon lal, a ': 1.0, 'bachhan singh v. state of punjab ': 1.0}"
2453,Bal Kishan vs Om Prakash & Anr,"Venkataramiah, E.S. (J)","26 August, 1986"," 1986 AIR 1952, 1986 SCR  (3) 622","Section 2 in The Election Laws (Amendment) Act, 2003 ; ",1,{'f] jagdish chander chatterjee & ors. v. sri kishan & anr ': 1.0}
2454,Tej Pal Singh (Dead) Through Lrs vs State Of U.P. & Anr,"Venkataramiah, E.S. (J)","5 August, 1986"," 1986 AIR 1815, 1986 SCR  (3) 428",Article 235 in The Constitution Of India 1949 ; Article 233 in The Constitution Of India 1949 ; rule 56 a fundamental rules ; article 235 of the constitution ; ,1,"{'state of uttar pradesh v. batuk deo patil tripathi & anr ': 0.8, 'state of haryana v. inder prakash anand h.c.s. & ors ': 0.8, 'andhra pradesh & ors. v. v. v.s. krishnamurthy and ors ': 0.8, 'state of u.p. v. manbodhan lal srivastava ': 1.0, 'in stale of haryana v. inder prakash anand h.c.s. & ors ': 1.0, 'andhra pradesh and ors. v. v.v.s. krishnamurity and ors ': 1.0}"
2455,Bharat Sevashram Sangh Etc. Etc vs State Of Gujarat Etc. Etc,"Venkataramiah, E.S. (J)","18 August, 1986"," 1987 AIR  494, 1986 SCR  (3) 602","Section 33 in The Societies Registration Act, 1860 ; Section 17 in The Societies Registration Act, 1860 ; Article 32 in The Constitution Of India 1949 ; ",1,{}
2456,Rajinder Kaur vs Punjab State & Anr,"Sen, A.P. (J)","8 August, 1986"," 1986 AIR 1790, 1986 SCR  (3) 500",,1,"{'c] p.l. dhingra v. union of india ': 0.8, 'k.h. phadnis v. state of maharashtra ': 0.8, 'state of bihar & ors. v. shiva bhikshuk mishra ': 0.8, 'shamsher singh & anr. v. state of punjab ': 1.0, 'anoop jaiswal v. government of india & anr ': 1.0, 'p. l. dhingra v. union of india ': 1.0}"
2457,State Of U.P. And Ors. vs D.K. Singh And Ors.,"M Dutt, O C Reddy","26 August, 1986"," AIR 1987 SC 190, 1986 (2) SCALE 304, (1986) 4 SCC 160, 1986 (2) UJ 565 SC",,0,{}
2458,Prakash Cotton Mills Pvt. Ltd vs Rashtriya Mills Mazdoor Sangh,"Dutt, M.M. (J)","1 August, 1986"," 1986 AIR 1514, 1986 SCR  (3) 419","Section 2 in The Industrial Disputes Act, 1947 ; ",1,"{'il] rashtriya mill mazdoor sangh v. appollo mill ltd ': 1.0, 'rashtriya mill mazdoor sangh v. apollo mills ltd ': 1.0}"
2459,Sheela Barse & Anr vs Union Of India & Ors,"Bhagwati, P.N. (Cj)","5 August, 1986"," 1986 AIR 1773, 1986 SCR  (3) 443",Article 32 in The Constitution Of India 1949 ; Article 39 in The Constitution Of India 1949 ; ,1,{}
2460,State Of Uttar Pradesh vs Ranjha Ram And Ors.,"M Thakkar, S Natarajan","19 August, 1986"," AIR 1986 SC 1959, 1986 (34) BLJR 719, 1986 CRILJ 1906, 1986 (2) SCALE 334, (1986) 4 SCC 99",Section 149 in The Indian Penal Code ; Section 148 in The Indian Penal Code ; Section 147 in The Indian Penal Code ; Section 302 in The Indian Penal Code ; Section 396 in The Indian Penal Code ; section 149 of indian penal code ; ,1,{}
2461,M. Nirmala & Ors vs State Of Andhra Pradesh & Ors,"Dutt, M.M. (J)","8 August, 1986"," 1986 AIR 2102, 1986 SCR  (3) 507",Article 32 in The Constitution Of India 1949 ; ,0,{}
2462,"Hari Bhanu Maharaj Of Baroda vs Charity Commissioner, Ahmedabad","R Misra, S Natarajan","28 August, 1986"," AIR 1986 SC 2139, JT 1986 (1) SC 280, 1986 (2) SCALE 306, (1986) 4 SCC 162, 1987 (1) UJ 300 SC",,0,{'peesapati v. kanduri ': 1.0}
2463,"Government Medical Store Depot, ... vs State Of Haryana And Another","Pathak, R.S.","5 August, 1986"," 1986 AIR 1902, 1986 SCR  (3) 450","Section 2 in The Punjab Laws Act, 1872 ; Section 6 in The Punjab Laws Act, 1872 ; ",1,"{'deputy commercial tax officer, saidapet, madras v. enfield india ltd. co-operative canteen ': 1.0, 'government medical store depot, gauhati v. the supdt. of taxes ': 1.0, 'in govt. medical store depot, gauhati v. the supdt. of taxes, gauhati & ors ': 1.0}"
2464,State Of U.P. vs Brahma Das,"M Thakkar, S Natarajan","19 August, 1986"," AIR 1986 SC 1769, 1986 (34) BLJR 713, 1986 CRILJ 1732, 1986 (3) CRIMES 369 SC, 1986 (2) SCALE 340, (1986) 4 SCC 93",Section 325 in The Indian Penal Code ; Section 149 in The Indian Penal Code ; Section 302 in The Indian Penal Code ; Section 148 in The Indian Penal Code ; section 149 of indian penal code ; ,1,"{'see bhagwan singh v. state ': 1.0, 'badri v. state of u.p ': 1.0}"
2465,District Council Of The Jowai vs Dwet Singh Rymbai Etc,"Venkataramiah, E.S. (J)","14 August, 1986"," 1986 AIR 1930, 1986 SCR  (3) 569","Article 244 in The Constitution Of India 1949 ; Section 4 in The Assam Reorganisation (Meghalaya) Act, 1969 ; Section 3 in The Assam Reorganisation (Meghalaya) Act, 1969 ; Section 8 in The Assam Reorganisation (Meghalaya) Act, 1969 ; ",0,"{'f] the commissioner, hindu religious endowments, madras v. sri lakshmindra thirtha swamiar of sri shirur mutt ': 1.0, 'om parkash agarwal and ors. v. giri raj kishori and ors ': 1.0}"
2466,State Of Andhra Pradesh vs Bogam Chandraiah And Anr.,"M Thakkar, S Natarajan","5 August, 1986"," AIR 1986 SC 1899, 1986 CRILJ 1903, 1986 (3) CRIMES 367 SC, 1986 (2) SCALE 172, (1986) 3 SCC 637",Section 34 in The Indian Penal Code ; Section 302 in The Indian Penal Code ; ,0,{}
2467,Sheela Barse & Ors vs Union Of India & Ors,"Bhagwati, P.N. (Cj)","13 August, 1986"," JT 1986   136, 1986 SCALE  (2)230",Article 21 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; ,0,"{'g] hussainara khatoon & ors. v. home secretary, state of bihar ': 1.0}"
2468,Suraj Mal And Another vs Ram Singh And Others,"Dutt, M.M. (J)","7 August, 1986"," 1986 AIR 1889, 1986 SCR  (3) 487","Section 4 in The Arbitration Act, 1940 ; Section 18 in The Arbitration Act, 1940 ; Section 5 in The Arbitration Act, 1940 ; Section 3 in The Arbitration Act, 1940 ; ",0,{}
2469,Union Of India & Anr vs Shiromani Gurdwara Prabandhak ...,"Mukharji, Sabyasachi (J)","5 August, 1986"," 1986 SCR  (3) 472, 1986 SCC  (3) 600",,0,"{'f] g.x. francis & ors. v. banke bihari singh & anr ': 1.0, 'hazara singh gill v. the state of punjab ': 1.0, 'g.x. francis & ors v. banke bihari singh & anr ': 1.0}"
2470,Tarlok Singh vs Municipal Corporation Of ...,"Oza, G.L. (J)","20 August, 1986"," 1986 AIR 1957, 1986 SCR  (3) 617",order 41 rule 27 ; ,0,{}
2471,Anwar vs Ist Additional District ...,"Venkataramiah, E.S. (J)","11 August, 1986"," 1986 AIR 1785, 1986 SCR  (3) 540","Section 68 in The Motor Vehicles Act, 1988 ; ",0,"{'f] h.c. narayanappa and ors. v. the state of mysore & ors ': 1.0, 'h. c. narayanappa and ors. v. the state of mysore and ors ': 1.0}"
2472,"Arya Samaj, Sagar & Ors vs Pinjamal & Anr","Mukharji, Sabyasachi (J)","8 August, 1986"," 1986 AIR 1789, 1986 SCR  (3) 514",,0,{'f] ramniklal pitambardas mehta v. inderadaman amratlal sheth ': 1.0}
2473,Tamil Nadu Joint Action Council ... vs Government Of Tamil Nadu And Ors.,"M Dutt, O C Reddy","14 August, 1986"," AIR 1987 SC 1490, 1987 (54) FLR 647, 1987 LABLC 1033, (1987) ILLJ 105 SC, (1986) 4 SCC 128",,0,{}
2474,"Commissioner Of Wealth-Tax, ... vs O.M.M. Klnnison (Dead) Through ...","Pathak, R.S.","29 August, 1986"," 1986 AIR 2019, 1986 SCR  (3) 674","Section 6 in THE WEALTH-TAX ACT, 1957 ; ",0,"{'philipson-stow and others v. inland revenue commissioners ': 1.0, 'andrew harvey v. commissioner of wealth tax ': 1.0}"
2475,State Of Kerala vs Bahuleyan,"M Thakkar, S Natarajan","19 August, 1986"," AIR 1987 SC 482, 1986 CRILJ 1579, 1986 (3) CRIMES 364 SC, 1986 (2) SCALE 301, (1986) 4 SCC 124","Section 302 in The Indian Penal Code ; Section 366 in The Code Of Criminal Procedure, 1973 ; Section 313 in The Code Of Criminal Procedure, 1973 ; ",1,{}
2476,Indu Bhusan De & Ors vs The State Of West Bengal,Misra Rangnath,"12 August, 1986"," 1986 AIR 1783, 1986 SCR  (3) 547",Article 141 in The Constitution Of India 1949 ; ,0,"{'h] state of bombay v. narothamdas jethabhai & anr ': 1.0, 'amarendra nath roy chowdhury v. bikash chandra ghose & anr ': 1.0}"
2477,Adoni Cotton Mills Ltd. And Ors. vs Union Of India (Uoi) And Ors.,"M Dutt, O C Reddy","22 August, 1986"," AIR 1987 SC 110, 1986 (2) SCALE 253, (1986) 4 SCC 1, 1986 (2) UJ 568 SC",,0,{}
2478,Valivety Ramakrishnaiah vs Totakura Rangarao,"A Sen, B Ray","29 August, 1986"," AIR 1986 SC 2099, JT 1986 (1) SC 291, 1986 (2) SCALE 331, (1986) 4 SCC 193, 1986 (2) UJ 598 SC",,0,{}
2479,Brij Behari Sahai vs State Of Uttar Pradesh,Misra Rangnath,"5 August, 1986"," 1986 AIR 1895, 1986 SCR  (3) 468","Section 35 in The Land Acquisition Act, 1894 ; Section 23 in The Land Acquisition Act, 1894 ; ",0,{'d] tan bug taim v. collector of bombay ': 1.0}
2480,Bhimrao Trimbakrao Ingle vs State Of Maharashtra,"Thakkar, M.P. (J)","19 August, 1986"," 1987 AIR  533, 1986 SCR  613",,1,{}
2481,Devi Prasad Rai And Anr. vs Kanhaiyalal Mukharya And Ors.,"R Misra, S Natarajan","12 August, 1986"," 1986 (2) SCALE 201, (1986) 4 SCC 5, 1986 (2) UJ 567 SC",,0,{}
2482,"J.K. Staple And Tows, Kota vs Union Of India (Uoi)","P B Khalid, G Oza","18 August, 1986"," 1986 (2) SCALE 277, (1986) 4 SCC 90",,0,{}
2483,Chandavarkar Sita Ratna Rao vs Ashalata S. Guram,"Mukharji, Sabyasachi (J)","25 September, 1986"," 1987 AIR  117, 1986 SCR  (3) 866","Article 227 in The Constitution Of India 1949 ; Section 15 in The Indian Easements Act, 1882 ; ",1,"{'ratanlal chandiprasad v. maniram darkhan (w.p. no ': 0.8, 'c] d.n. banerji v. p.r. mukharjee & ors ': 0.8, 'babhutmal raichand oswal v. laxmibai r. tarte ': 0.8, 'harbans lal v. jagmohan saran ': 0.8, 'trimbak gangadhar telang and another v. ram chandra ganesh bhide and others ': 0.8, 'smt. m.m. amonkar and others v. dr. s.a. johari ': 0.8, 'g] waman shrinivas kini v. ratilal bhagwandas & co ': 0.8, 'v. dhanapal chettiar v. yesodai ammal ': 0.8, 'gian devi anand v. jeevan kumar and others ': 0.8, 'anand nivas (private) ltd. v. anandji kalyanji podhi & ors ': 0.8, 'jagdish chander chatterjee & ors. v. sri kishan & anr ': 1.0, 'damadilal and others v. parashram and others ': 1.0, 'ganpat ladha v. sashikant vishnu shinde ': 1.0, 'b.m. lall v. dunlop rubber & co. ltd. & ors ': 1.0, 'g] aswini kumar ghosh & another v. arabinda bose & another ': 1.0, 'dominion of india & another v. shribai a. irani & another ': 1.0, 'the south india corporation (p) ltd. v. the secretary, board of revenue, trivandrum & anr ': 1.0, 'ratanlal chandiprasad v. raniram darkhan ': 1.0, 'in d.n. banerji v. p.r. mukharjee & ors ': 1.0, 'babhutmal raichand oswal v. laxmibai r. tarte and another ': 1.0, 'dalmia jain airways ltd. v. sukumar mukherjee ': 1.0, 'nagendra nath bora v. the commr. of hills division ': 1.0, 'smt. m.m. amonkar, and others v. dr. s.a. johari ': 1.0, 'whether vasant tatoba hargude & others v. dikkaya muttaya pujari ': 1.0, 'see b.m. lall v. dunlop rubber ': 1.0, 'in damadilal and others v. parashram and others ': 1.0, 'in ganpat ladha v. sashikant vishnu shinde ': 1.0, 'in gian devi anand v. jeevan kumar and others ': 1.0, 'see b.m. lall v. dunlop rubber & co. ltd. & ors ': 1.0}"
2484,A.K. Roy & Anr vs State Of Punjab & Ors,"Sen, A.P. (J)","29 September, 1986"," 1986 AIR 2160, 1986 SCR  (3) 961","Section 20 in The Prevention of Food Adulteration Act, 1954 ; Section 14 in The Prevention of Food Adulteration Act, 1954 ; ",1,"{'h] state of bombay v. parshottam kanaiyalal ': 1.0, 'the corporation of calcutta v. md. omer ali & anr ': 1.0}"
2485,Neelima Shangla Ph.D. Candidate vs State Of Haryana & Ors,"Reddy, O. Chinnappa (J)","17 September, 1986"," 1987 AIR  169, 1986 SCR  (3) 785",Article 32 in The Constitution Of India 1949 ; Article 234 in The Constitution Of India 1949 ; ,1,{'state of haryana v. subash chander marwah & ors. in ': 1.0}
2486,Binod Singh vs District Magistrate Dhanbad ...,"Mukharji, Sabyasachi (J)","26 September, 1986"," 1986 AIR 2090, 1986 SCR  (3) 906",,1,"{'a-d] rameshwar shaw v. district magistrate, burdwan & anr ': 1.0, 'ramesh yadav v. district magistrate etc ': 1.0, 'ramesh yadav v. district magistrate etah and others ': 1.0}"
2487,"C.I.T., Andhra Pradesh vs Trustees Of H.E.H.. The Nizam'S ...","Pathak, R.S.","30 September, 1986"," 1987 AIR  107, 1986 SCR  (3) 973","Section 147 in The Income- Tax Act, 1995 ; Section 148 in The Income- Tax Act, 1995 ; ",0,"{'see commissioner of income-tax, bombay v. manilal dhanji ': 1.0}"
2488,Raghubir Singh & Others Etc vs State Of Bihar,"Reddy, O. Chinnappa (J)","19 September, 1986"," 1987 AIR  149, 1986 SCR  (3) 802",Article 21 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; ,0,"{'kadra pehadiya (i) v. state of bihar ': 0.8, 'kadra pehdiya(ii) v. state of bihar ': 0.8, 'h] natabar parida v. state of orissa ': 0.8, 'bashir v. state of haryana ': 1.0, 'in natabar parida v. state of orissa ': 1.0, 'in bashir v. state of haryana ': 1.0}"
2489,O.P. Bhandari vs Indian Tourism Development ...,"Thakkar, M.P. (J)","26 September, 1986"," 1987 AIR  111, 1986 SCR  (3) 923",Article 12 in The Constitution Of India 1949 ; Article 14 in The Constitution Of India 1949 ; article 14 and article 16 ; ,1,"{'central inland water transport corporation ltd. v. brojo nath ganguly ': 0.8, 'e] central inland water transport corporation ltd. & anr. v. brojo nath ganguly & anr ': 0.8, 'd-f] central inland water transport corporation limited & anr. v. brojo nath ganguly & anr ': 1.0, 'central inland water transport corporation limited & anr. v. brojo nath ganguly and anr ': 1.0}"
2490,K.R. Mudgal & Ors vs R.P. Singh & Ors,"Venkataramiah, E.S. (J)","30 September, 1986"," 1986 AIR 2086, 1986 SCR  (3) 993",,0,"{'union of india v. m. ravi verma ': 0.8, 'r.s. makashi & ors. v. i.m. menon & ors ': 0.8, ""maloon lawrence cecil d'souza v. union of india & ors "": 1.0, 'union of india & ors. v. m. ravi varma & ors ': 1.0}"
2491,State Of U.P. Etc vs Smt. Pista Devi & Ors,"Venkataramiah, E.S. (J)","12 September, 1986"," 1986 AIR 2025, 1986 SCR  (3) 743","Section 6 in The Land Acquisition Act, 1894 ; Section 4 in The Land Acquisition Act, 1894 ; ",0,{'ors. v. the government of andhra pradesh & ors ': 1.0}
2492,Surinder Singh vs Central Government & Ors,"Thakkar, M.P. (J)","26 September, 1986"," 1986 AIR 2166, 1986 SCR  (3) 946","Section 8 in The Displaced Persons (Compensation And Rehabilitation) Act, 1954 ; Section 16 in The Displaced Persons (Compensation And Rehabilitation) Act, 1954 ; Section 33 in The Displaced Persons (Compensation And Rehabilitation) Act, 1954 ; Article 226 in The Constitution Of India 1949 ; ",0,"{'c] bishan singh v. the central govt. and others ': 0.8, 't. cajee v. u. jormanik siem and anr ': 0.8, 'b.n. nagarajan and ors. v. state of mysore and ors ': 0.8, 'mysore state road transport corporation v. gopinath ': 0.8, 'u.p. state electricity board v. city board mussoorie and ors ': 0.8, 'mahanta ram das v. ganga das ': 1.0, 'd] bombay salt and chemical v. johnson and ors ': 1.0, 'bishan singh v. the central govt. & ors ': 1.0, 'in ""t. cajee v. u. jormanik siem & anr ': 1.0, 'b.n. nagarajan & ors. v. state of mysore & ors ': 1.0, 'in u.p. state electricity board v. city board mussoorie & ors ': 1.0, 'mahanth ram das v. ganga das ': 1.0, 'bombay salt and chemical v. johnson & ors ': 1.0}"
2493,Suraj Pal Sahu vs State Of Maharashtra &Ors,"Mukharji, Sabyasachi (J)","25 September, 1986"," 1986 AIR 2177, 1986 SCR  (3) 837","Section 3 in The National Security Act, 1980 ; ",0,"{'g] ramesh yadav v. district magistrate, etah and others ': 0.8, 'mohd. subrati alias mohd. karim v. state of west bengal ': 0.8, 'rameshwar shaw v. district magistrate, burdwan & anr ': 0.8, 'makhan singh tarsikha v. state of punjab ': 0.8, 'rameshwar shah v. district magistrate burdwan & anr ': 0.8, 'makhan singh tarsikka v. state of punjab ': 0.8, 'maledath bharathan malyali v. the commissioner of police ': 0.8, 'golam hussain alias gama v. the commissioner of police calcutta and others ': 0.8, 'sahib singh dugal v. union of india ': 0.8, 'mohd. salim khan v. shri c.c. bose judgment ': 0.8, 'godavari shamrao parulekar v. state of maharashtra & others ': 1.0, 'gopi ram v. state of rajasthan ': 1.0, 'dulal roy v. the district magistrate, burdwan & others ': 1.0, 'dr. ramakrishna rawat v. district magistrate, jabalpur and another ': 1.0, 'the barium chemicals ltd. & anr. v. the company law board and others ': 1.0, 'prakash chandra mehta v. commissioner and secretary, government of kerala and others ': 1.0, 'in ramesh yadav v. district magistrate, etah and others ': 1.0, 'remeshwar shaw v. district magistrate, burdwan & anr ': 1.0, 'in makhan singh tarsikka v. state of punjab ': 1.0, 'in golam hussain alias gama v. the commissioner of police, calcutta and others ': 1.0, 'mohd. salim khan v. shri c.c. bose & another ': 1.0, 'borjahan gorey v. state of west bengal ': 1.0, 'in godavari shamrao parulekar v. state of maharashtra & others ': 1.0, 'in gopi ram v. state of rajasthan ': 1.0, 'golan hussain alia gama v. commissioner of police, calcutta, and others ': 1.0, 'in vijay narain singh v. state of bihar & ors ': 1.0, 'in prakash chandra mehta v. commissioner and secretary, government of kerala and others ': 1.0}"
2494,"Brooke Bond & Company Ltd.(Now ... vs C.I.T., West Bengal-Ii, Calcutta","Pathak, R.S.","30 September, 1986"," 1986 SCR  (3) 980, 1986 SCC  (4) 689","Section 24 in The Income- Tax Act, 1995 ; Section 6 in The Income- Tax Act, 1995 ; ",1,"{'united commercial bank ltd. v. commissioner of income tax ': 0.8, 'commissioner of income-tax, bombay city v. chugandas and co ': 0.8, 'commissioner of income-tax, andhra pradesh v. cocandada radhaswami band ltd ': 0.8, 'o.rm.m.sp.sv. firm v. commissioner of income-tax, madras ': 1.0, 'in united commercial bank ltd., v. commissioner of income ': 1.0, 'commissioner of income-tax, andhra pradesh v. cocanada radhaswami bank ltd ': 1.0, 'o.rm.m. sp. sv. firm v. commissioner of income-tax, madras ': 1.0}"
